,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06
3.4,0,0,0,0,0,0,0,0,0,0,0,660,893
3.3,0,0,0,0,0,0,0,0,0,429,735,347,102
3.2,0,0,0,0,0,0,0,0,88,333,35,26,19
3.1,0,0,0,0,0,0,0,463,671,276,230,180,73
3.0,0,38,50,113,134,195,517,345,74,59,49,51,33
2.6,1543,1557,1553,1449,1541,1563,1224,1089,1096,1240,1265,1265,1199
2.5,96,70,45,46,52,45,40,46,45,37,42,37,34
2.4,270,294,277,326,351,330,261,260,256,314,272,284,247
2.3,136,161,123,167,153,157,137,168,166,188,165,123,121
2.2,35,24,20,17,19,21,28,24,25,21,25,17,15
2.1,7,3,2,5,2,3,2,2,3,3,2,1,1
2.0,4,4,3,2,3,4,3,3,3,3,3,3,3
1.6,7,8,7,7,9,4,6,6,5,5,7,7,7
