,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06
3.1,0,0,0,0,0,0,0,0,0,0,0,85,1317
3.0,0,0,0,0,0,5,629,966,1561,2110,2523,3425,2367
2.8,0,0,0,0,0,76,2175,4061,4829,6268,6647,7261,6712
2.7,2740,4236,5126,6903,8209,8776,6246,5855,5437,5571,4833,5528,4532
2.6,5744,4990,3637,3533,3143,2916,2460,2452,2441,2151,1940,1766,1509
2.5,1700,1436,1170,1162,1062,950,862,904,869,807,693,645,617
2.4,527,562,527,592,545,464,361,312,292,309,289,314,257
2.3,2489,2474,1771,1908,1844,1691,1570,1621,1748,1787,1509,1656,1501
2.2,115,106,89,82,90,86,81,77,66,72,65,79,62
2.1,133,131,99,89,98,72,63,82,96,97,86,85,71
2.0,14,11,9,6,10,8,11,9,9,11,11,4,8
